Subject,Área Temática,Total de Fontes Encontradas,Conceitos-Chave,Cobertura Geográfica,Resumo Detalhado da Pesquisa,Error
"Lean Startup e Customer Development (Eric Ries, Steve Blank)","Lean Startup e Customer Development (Eric Ries, Steve Blank)",20,"**Lean Startup (Eric Ries):** Ciclo Construir-Medir-Aprender (Build-Measure-Learn), Produto Mínimo Viável (MVP), Pivô, Contabilidade de Inovação.
**Customer Development (Steve Blank):** Metodologia de 4 passos (Descoberta, Validação, Criação de Clientes, Construção da Empresa), Teste de Hipóteses, ""Saia do Prédio"" (Get Out of the Building).
**Integração e Aplicações:** Sinergia com o Business Model Canvas (BMC) e Lean Canvas (Ash Maurya). Aplicação em grandes corporações (Corporate Entrepreneurship), superando desafios de resistência e cultura. Necessidade de maior integração com Metodologias Ágeis (AM) na literatura acadêmica.","EUA, Brasil, Europa (Itália), Global",/home/ubuntu/research_summary(1)/0_m3XQBREi6Chy0AHdYoxbDq_1764908335511_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Design Sprint e metodologia Google Ventures,Design Sprint e Metodologia Google Ventures,18,"O Design Sprint é uma metodologia de cinco dias desenvolvida por Jake Knapp no Google e popularizada pela Google Ventures (GV), com o objetivo de responder a questões críticas de negócios através de design, prototipagem e testes rápidos com clientes.
*   **Estrutura Clássica (5 Dias):** Mapear (Segunda), Esboçar (Terça), Decidir (Quarta), Prototipar (Quinta) e Testar (Sexta).
*   **Vantagens:** Velocidade (comprime meses em uma semana), Foco (evita discussões longas), Redução de Risco (validação com usuários antes de grandes investimentos) e Pensamento Crítico Individual (esboços individuais em vez de brainstorming em grupo).
*   **Relação com Outras Metodologias:** É um compêndio de ferramentas do Design Thinking e serve como uma fase inicial de validação para projetos Agile.
*   **Aplicações:** Demonstra generalizabilidade, sendo aplicado em startups, desenvolvimento de software, serviços governamentais, saúde comportamental e educação em diversas regiões geográficas.","EUA, Brasil, América Latina, Ásia (Hong Kong, Índia, China), Europa (Finlândia)",/home/ubuntu/research_summary(1)/1_MXRj85ekBbk1AnRhPgcrpt_1764908365217_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Jobs to Be Done (JTBD) framework - Clayton Christensen,Jobs to Be Done (JTBD) framework - Clayton Christensen,16,"O JTBD postula que clientes ""contratam"" produtos para realizar ""trabalhos"" (jobs) em suas vidas, focando na circunstância e no progresso desejado. Os principais conceitos incluem:
*   **Job to Be Done (Trabalho a Ser Feito):** O progresso fundamental que o cliente busca, sendo estável e duradouro (funcional, social e emocional).
*   **Contratação (Hiring):** A decisão de usar um produto para realizar o trabalho.
*   **Forças do Progresso:** Modelo de Bob Moesta (Push, Pull, Anxiety, Habit) que explica a dinâmica da decisão de compra.
*   **Job Stories:** Estrutura de requisitos (Quando [Situação], eu quero [Motivação], para que eu possa [Resultado Esperado]) que substitui as User Stories.
*   **Duas Escolas:** A Escola Christensen/Moesta (foco na circunstância e forças) e a Escola Ulwick/ODI (foco em resultados desejados e métricas quantificáveis).
*   **Aplicações Setoriais:** Uso em UX/Design, Engenharia de Requisitos, Saúde (gestão de doenças crônicas) e Educação (alinhamento da oferta ao progresso do estudante).","EUA, Brasil, Europa",/home/ubuntu/research_summary(1)/2_plDHk3Dcgx7AxToDCiUJKI_1764908410446_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Blue Ocean Strategy e reconstrução de fronteiras de mercado,Blue Ocean Strategy e Reconstrução de Fronteiras de Mercado,18,"**Valor-Inovação:** Princípio central da BOS, buscando simultaneamente diferenciação e baixo custo. É a espinha dorsal da estratégia, visando criar um salto no valor para o comprador enquanto reduz a estrutura de custos.
**Reconstrução de Fronteiras de Mercado:** Estratégia para sair do ""oceano vermelho"" (competição) e criar um ""oceano azul"" (espaço de mercado inexplorado). É alcançada através dos Seis Caminhos (olhar para indústrias alternativas, grupos estratégicos, cadeia de compradores, ofertas complementares, apelo funcional/emocional e o tempo).
**Framework das Quatro Ações (ERRC Grid):** Ferramenta analítica para criar uma nova curva de valor. As ações são:
*   **Eliminar:** Fatores que a indústria considera essenciais, mas que não agregam valor ao novo mercado.
*   **Reduzir:** Fatores que devem ser mantidos, mas com um nível de investimento abaixo do padrão da indústria.
*   **Aumentar:** Fatores que devem ser elevados acima do padrão da indústria para aumentar o valor.
*   **Criar:** Fatores que a indústria nunca ofereceu, gerando nova demanda.
**Tela de Estratégia (*Strategy Canvas*):** Ferramenta de diagnóstico e ação que visualiza o perfil estratégico atual e futuro da empresa e dos concorrentes, permitindo a criação de uma nova curva de valor única.
**Foco em Não-Clientes:** A BOS direciona o foco para os não-clientes, expandindo a demanda e criando um novo mercado, em vez de competir por clientes existentes.","EUA, Europa (França, Portugal), Brasil, Ásia (Singapura)",/home/ubuntu/research_summary(1)/3_mbPRlULBInOWQQGI6E8xSe_1764908363253_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Agile e Scrum - desenvolvimento iterativo orientado a valor,Agile e Scrum - desenvolvimento iterativo orientado a valor,18,"* **Agilidade e Scrum:** Framework leve e empírico que ajuda equipes a gerar valor através de soluções adaptativas para problemas complexos, fundamentado nos 4 Valores e 12 Princípios do Manifesto Ágil.
* **Desenvolvimento Iterativo e Incremental:** Entrega de software funcionando em ciclos curtos (Sprints), permitindo feedback contínuo, redução de riscos e adaptação rápida.
* **Orientação a Valor:** Princípio central que guia a priorização do trabalho (Product Backlog), focado em maximizar o valor entregue ao cliente e ao negócio.
* **Empirismo:** Base do Scrum, sustentado pelos pilares de Transparência, Inspeção e Adaptação, que promovem a tomada de decisão baseada na observação e experiência.
* **Auto-organização e Soft Skills:** Equipes multifuncionais e auto-organizadas, onde habilidades interpessoais como comunicação e colaboração são cruciais para a eficácia e maturidade do time.
* **Agilidade Organizacional e Aplicações Não-TI:** Evolução da agilidade de um framework de desenvolvimento de software para uma filosofia que abrange toda a organização, com casos de estudo demonstrando sua aplicação em áreas como vendas, RH, construção civil e projetos científicos.","EUA, Brasil, Portugal, Alemanha, Europa, Global",/home/ubuntu/research_summary(1)/4_ThUotA5GxOiOS3mafFNs6i_1764908358819_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnlfZmluYWw.md,
Six Sigma e DMAIC para melhoria de processos,Six Sigma e DMAIC para melhoria de processos,17,"- **Six Sigma:** Estratégia gerencial e métrica estatística que visa a excelência na competitividade através da redução da variabilidade dos processos a um nível de 3,4 defeitos por milhão de oportunidades (DPMO).
- **DMAIC (Define, Measure, Analyze, Improve, Control):** Roteiro fundamental do Six Sigma, uma metodologia estruturada e baseada em dados para a melhoria de processos existentes.
- **DMAIC vs. DMADV/DFSS:** O DMAIC é reativo (melhoria de falhas), enquanto o DMADV (Design for Six Sigma) é proativo (criação de novos processos com qualidade Six Sigma).
- **Lean Six Sigma (LSS):** Integração do Six Sigma com o Lean Manufacturing, utilizando o DMAIC para combinar a redução de defeitos com a eliminação de desperdícios.
- **DMAIC 4.0:** Tendência de integração do DMAIC com tecnologias da Indústria 4.0 (IA, IoT, Big Data) para melhoria de processos em tempo real e preditiva.
- **Aplicações Setoriais:** O DMAIC é amplamente aplicado em Manufatura, Serviços Financeiros, Saúde, Logística, Setor Público, Recursos Humanos e Educação, demonstrando sua versatilidade para além da produção industrial.","Brasil, Índia, Taiwan (Ásia), Itália (Europa), EUA, Reino Unido (Europa)",/home/ubuntu/research_summary(1)/5_1fIneXs5POMz4GZH32t9wp_1764908623668_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Balanced Scorecard e Strategy Maps (Kaplan & Norton),Balanced Scorecard e Strategy Maps (Kaplan & Norton),18,"O Balanced Scorecard (BSC) é um sistema de gestão estratégica que equilibra indicadores financeiros e não financeiros em quatro perspectivas: Financeira, Cliente, Processos Internos e Aprendizado e Crescimento. O Strategy Map (Mapa Estratégico) é a representação visual das relações de causa e efeito entre os objetivos estratégicos nas quatro perspectivas, tornando a estratégia explícita. O BSC evoluiu de um sistema de medição para um sistema de gestão estratégica completo. O framework é amplamente adaptado para o setor público, substituindo a perspectiva Financeira por uma de Valor para o Cidadão/Comunidade, e é crucial para o alinhamento estratégico da Tecnologia da Informação (TI).","EUA, Brasil, América Latina (Geral)",/home/ubuntu/research_summary(1)/6_sVsUKOEsM2hlYUturyl37z_1764908418817_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Teoria das Restrições (Theory of Constraints) - Eliyahu Goldratt,Teoria das Restrições (Theory of Constraints - TOC) - Eliyahu Goldratt,20,"A Teoria das Restrições (TOC) é uma filosofia de gestão sistêmica que se baseia na premissa de que o desempenho de qualquer sistema complexo é limitado por um único fator, a **restrição**. A melhoria contínua deve focar na gestão e eliminação dessa restrição.

Os principais conceitos e _insights_ descobertos são:
*   **O Objetivo (_The Goal_):** O objetivo central de uma empresa é fazer dinheiro agora e no futuro.
*   **Métricas de Vazão (_Throughput Accounting_):** A TOC substitui a contabilidade de custos tradicional por três métricas de desempenho global: **Vazão (_Throughput_ - T)** (dinheiro gerado pelas vendas), **Estoque (_Inventory_ - I)** (dinheiro investido) e **Despesa Operacional (_Operating Expense_ - OE)** (dinheiro gasto para operar).
*   **Os Cinco Passos de Foco:** O ciclo de melhoria contínua da TOC: 1) Identificar a restrição; 2) Explorar a restrição; 3) Subordinar todo o resto à restrição; 4) Elevar a restrição; 5) Voltar ao passo 1 (evitando a inércia).
*   **Tambor-Pulmão-Corda (_Drum-Buffer-Rope_ - DBR):** Metodologia de programação de produção onde o ""Tambor"" é o ritmo da restrição, o ""Pulmão"" protege a restrição de interrupções e a ""Corda"" regula a liberação de material para o sistema.
*   **Corrente Crítica (_Critical Chain_):** Aplicação da TOC à gestão de projetos, focando na gestão de recursos e na proteção do projeto como um todo (Pulmão do Projeto) e dos _feeds_ (Pulmões de Alimentação), resultando em projetos mais rápidos e confiáveis.
*   **Processos de Raciocínio (_Thinking Processes_ - TP):** Conjunto de ferramentas lógicas (Árvore da Realidade Atual, Diagrama de Conflito, Árvore da Realidade Futura) para analisar problemas complexos e identificar restrições não-físicas (políticas ou paradigmas).
*   **Aplicações Setoriais:** A TOC se expandiu da **Manufatura** para **Serviços** (Logística, Bancos), **Saúde** (_Healthcare_) e **Cadeia de Suprimentos**, demonstrando ser uma filosofia de gestão universal.","EUA, Brasil, Nova Zelândia, Austrália, Reino Unido, Lituânia, Índia, China, Japão",/home/ubuntu/research_summary(1)/7_f8vYj2EOKQSBBl5TMEg0Fw_1764908530227_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Value Proposition Design e Business Model Canvas (Osterwalder),Value Proposition Design e Business Model Canvas (Osterwalder),20,"*   **Business Model Canvas (BMC):** Framework visual de 9 blocos para descrever a lógica de criação, entrega e captura de valor de uma organização. É a base para a análise e o projeto de modelos de negócios, amplamente utilizado por empresas estabelecidas e consultores.
*   **Value Proposition Canvas (VPC):** Ferramenta complementar ao BMC, atuando como um ""zoom"" no bloco de Proposta de Valor. Seu foco é mapear o Perfil do Cliente (Tarefas, Dores, Ganhos) e o Mapa de Valor (Produtos/Serviços, Analgésicos, Criadores de Ganhos) para alcançar o **Product-Market Fit**.
*   **Críticas e Variações:** O BMC é objeto de críticas acadêmicas quanto à sua arquitetura fixa e sobreposições entre blocos. Tais limitações impulsionaram o desenvolvimento de variações como o **Lean Canvas** (focado em startups e validação de hipóteses) e o **Creative Business Model Canvas** (adaptado para a indústria criativa), demonstrando a adaptabilidade do conceito original.
*   **Aplicações Setoriais:** Os frameworks são aplicados em uma vasta gama de setores, incluindo tecnologia (Uber, Amazon), serviços públicos (setor de água no Brasil), bioeconomia (Amazônia) e artesanato (MPMEs de Batik na Indonésia), confirmando sua relevância global para inovação e desenvolvimento sustentável.","América do Norte (EUA), Europa (Suíça, Bélgica), América do Sul (Brasil), Ásia (Indonésia, Hong Kong)",/home/ubuntu/research_summary(1)/8_zARDpzL8lmpM9q4m1syc3K_1764908533219_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
Moonshot Thinking e X Thinking do Google X,Moonshot Thinking e X Thinking do Google X,20,"* **Moonshot Thinking (Filosofia 10X):** Abordagem de inovação radical que visa resolver problemas gigantescos com soluções radicais e tecnologia de ponta, buscando melhorias de 10x em vez de 10%. Os três pilares são: um problema enorme, uma solução radical e tecnologia de ponta.
* **X Thinking (The X Way):** Metodologia de inovação desenvolvida pelo Google X para gerenciar o alto risco e a incerteza dos projetos Moonshot. É um processo estruturado para falhar rapidamente e aprender com o fracasso.
* **Rapid Evaluation (Rapid Eval):** Estágio crucial do X Thinking, onde equipes multidisciplinares são encarregadas de identificar e testar os maiores riscos de uma ideia nas primeiras semanas, com o objetivo de ""matar"" ideias inviáveis rapidamente.
* **X Foundry:** Estágio de incubação para projetos Moonshot que sobreviveram ao Rapid Eval, focado em reduzir riscos não tecnológicos e desenvolver um plano de negócios testado pela realidade antes do *spin-out* como empresas independentes.
* **Polissemia do Termo 'X Thinking':** O termo 'X Thinking' também é utilizado em outros contextos, como em **X Thinking (Experiência de Marca)**, focado em experiências de cliente, e **X-Learning**, focado em aprendizagem experiencial, além da clássica **Theory X** de gestão.","EUA (Vale do Silício), Brasil (Rio de Janeiro), Europa (Portugal), China",/home/ubuntu/research_summary(1)/9_FoQnGiM0lOgsnfgtNQPoV3_1764908376019_na1fn_L2hvbWUvdWJ1bnR1L3Jlc2VhcmNoX3N1bW1hcnk.md,
